Gene	Tissue	Target	Mut_Loss	NoMut_Loss	Mut_WT	NoMut_WT
RB1_TP53	BLCA	WOSecondM	7	37	5	110
RB1_NFE2L2	BLCA	WithSecondM	1	5	1	16
RB1_NFE2L2	BLCA	WOSecondM	36	73	18	146
RB1_ASXL2	BLCA	WithSecondM	1	13	3	9
RB1_ASXL2	BLCA	WOSecondM	36	65	16	153
RB1_NRAS	BLCA	WithSecondM	2	3	1	5
RB1_NRAS	BLCA	WOSecondM	35	75	18	157
RB1_KLF5	BLCA	WithSecondM	1	5	1	9
RB1_KLF5	BLCA	WOSecondM	36	73	18	153
RB1_RBM10	BLCA	WithSecondM	1	3	2	8
RB1_RBM10	BLCA	WOSecondM	36	75	17	154
RB1_KDM6A	BLCA	WithSecondM	5	25	2	40
RB1_KDM6A	BLCA	WOSecondM	32	53	17	122
RB1_CUL1	BLCA	WithSecondM	5	2	2	8
RB1_CUL1	BLCA	WOSecondM	32	76	17	154
RB1_FBXW7	BLCA	WithSecondM	4	7	2	14
RB1_FBXW7	BLCA	WOSecondM	33	71	17	148
RB1_KMT2C	BLCA	WithSecondM	8	15	4	28
RB1_KMT2C	BLCA	WOSecondM	29	63	15	134
RB1_ERBB3	BLCA	WithSecondM	6	9	4	11
RB1_ERBB3	BLCA	WOSecondM	31	69	15	151
RB1_CDKN2A	BLCA	WithSecondM	1	8	1	10
RB1_CDKN2A	BLCA	WOSecondM	36	70	18	152
RB1_DIAPH2	BLCA	WithSecondM	3	8	2	7
RB1_DIAPH2	BLCA	WOSecondM	34	70	17	155
RB1_KMT2D	BLCA	WithSecondM	12	28	3	38
RB1_KMT2D	BLCA	WOSecondM	25	50	16	124
RB1_STAG2	BLCA	WithSecondM	2	14	4	26
RB1_STAG2	BLCA	WOSecondM	35	64	15	136
RB1_RXRA	BLCA	WithSecondM	2	10	3	7
RB1_RXRA	BLCA	WOSecondM	35	68	16	155
RB1_ZFP36L1	BLCA	WithSecondM	3	6	1	11
RB1_ZFP36L1	BLCA	WOSecondM	34	72	18	151
RB1_HRAS	BLCA	WithSecondM	2	2	1	12
RB1_HRAS	BLCA	WOSecondM	35	76	18	150
RB1_RHOB	BLCA	WithSecondM	2	10	3	7
RB1_RHOB	BLCA	WOSecondM	35	68	16	155
RB1_RHOA	BLCA	WithSecondM	2	3	2	7
RB1_RHOA	BLCA	WOSecondM	35	75	17	155
RB1_EP300	BLCA	WithSecondM	9	11	5	18
RB1_EP300	BLCA	WOSecondM	28	67	14	144
RB1_FGFR3	BLCA	WithSecondM	2	10	1	36
RB1_FGFR3	BLCA	WOSecondM	35	68	18	126
RB1_KRAS	BLCA	WithSecondM	2	2	1	12
RB1_KRAS	BLCA	WOSecondM	35	76	18	150
RB1_PSIP1	BLCA	WithSecondM	2	4	2	10
RB1_PSIP1	BLCA	WOSecondM	35	74	17	152
RB1_ERBB2	BLCA	WithSecondM	7	10	6	18
RB1_ERBB2	BLCA	WOSecondM	30	68	13	144
RB1_ARID1A	BLCA	WithSecondM	11	15	5	42
RB1_ARID1A	BLCA	WOSecondM	26	63	14	120
RB1_FOXA1	BLCA	WithSecondM	1	3	3	5
RB1_FOXA1	BLCA	WOSecondM	36	75	16	157
RB1_PTEN	BLCA	WithSecondM	2	1	2	7
RB1_PTEN	BLCA	WOSecondM	35	77	17	155
RB1_FAT1	BLCA	WithSecondM	4	8	4	19
RB1_FAT1	BLCA	WOSecondM	33	70	15	143
RB1_GNA13	BLCA	WithSecondM	2	3	2	5
RB1_GNA13	BLCA	WOSecondM	35	75	17	157
RB1_PIK3CA	BLCA	WithSecondM	6	16	6	39
RB1_PIK3CA	BLCA	WOSecondM	31	62	13	123
RB1_CREBBP	BLCA	WithSecondM	6	9	4	19
RB1_CREBBP	BLCA	WOSecondM	31	69	15	143
PSIP1_FOXQ1	BLCA	WithSecondM	2	7	1	4
PSIP1_FOXQ1	BLCA	WOSecondM	13	157	2	124
PSIP1_SPTAN1	BLCA	WithSecondM	2	23	1	16
PSIP1_SPTAN1	BLCA	WOSecondM	13	141	2	112
PSIP1_CDKN1A	BLCA	WithSecondM	2	20	2	7
PSIP1_CDKN1A	BLCA	WOSecondM	13	144	1	121
PSIP1_ATM	BLCA	WithSecondM	3	17	1	16
PSIP1_ATM	BLCA	WOSecondM	12	147	2	112
PSIP1_SF3B1	BLCA	WithSecondM	2	8	1	9
PSIP1_SF3B1	BLCA	WOSecondM	13	156	2	119
PSIP1_ERCC2	BLCA	WithSecondM	2	11	1	11
PSIP1_ERCC2	BLCA	WOSecondM	13	153	2	117
PSIP1_SF1	BLCA	WithSecondM	1	5	1	4
PSIP1_SF1	BLCA	WOSecondM	14	159	2	124
PSIP1_CTNNB1	BLCA	WithSecondM	1	5	1	7
PSIP1_CTNNB1	BLCA	WOSecondM	14	159	2	121
PSIP1_TXNIP	BLCA	WithSecondM	1	6	2	5
PSIP1_TXNIP	BLCA	WOSecondM	14	158	1	123
PSIP1_ELF3	BLCA	WithSecondM	5	23	1	11
PSIP1_ELF3	BLCA	WOSecondM	10	141	2	117
PSIP1_TSC1	BLCA	WithSecondM	2	20	1	6
PSIP1_TSC1	BLCA	WOSecondM	13	144	2	122
PSIP1_KANSL1	BLCA	WithSecondM	3	12	1	5
PSIP1_KANSL1	BLCA	WOSecondM	12	152	2	123
PSIP1_TP53	BLCA	WithSecondM	8	67	2	61
PSIP1_TP53	BLCA	WOSecondM	7	97	1	67
PSIP1_NFE2L2	BLCA	WithSecondM	1	14	1	9
PSIP1_NFE2L2	BLCA	WOSecondM	14	150	2	119
PSIP1_ASXL2	BLCA	WithSecondM	2	18	1	6
PSIP1_ASXL2	BLCA	WOSecondM	13	146	2	122
PSIP1_NRAS	BLCA	WithSecondM	1	3	1	5
PSIP1_NRAS	BLCA	WOSecondM	14	161	2	123
PSIP1_RB1	BLCA	WithSecondM	1	18	2	27
PSIP1_RB1	BLCA	WOSecondM	14	146	1	101
PSIP1_KLF5	BLCA	WithSecondM	2	9	1	8
PSIP1_KLF5	BLCA	WOSecondM	13	155	2	120
PSIP1_RBM10	BLCA	WithSecondM	2	7	1	4
PSIP1_RBM10	BLCA	WOSecondM	13	157	2	124
PSIP1_KDM6A	BLCA	WithSecondM	5	44	1	33
PSIP1_KDM6A	BLCA	WOSecondM	10	120	2	95
PSIP1_CUL1	BLCA	WithSecondM	2	8	1	4
PSIP1_CUL1	BLCA	WOSecondM	13	156	2	124
PSIP1_FBXW7	BLCA	WithSecondM	2	15	1	10
PSIP1_FBXW7	BLCA	WOSecondM	13	149	2	118
PSIP1_KMT2C	BLCA	WithSecondM	8	24	1	25
PSIP1_KMT2C	BLCA	WOSecondM	7	140	2	103
PSIP1_ERBB3	BLCA	WithSecondM	2	15	1	15
PSIP1_ERBB3	BLCA	WOSecondM	13	149	2	113
PSIP1_CDKN2A	BLCA	WithSecondM	2	10	1	6
PSIP1_CDKN2A	BLCA	WOSecondM	13	154	2	122
PSIP1_DIAPH2	BLCA	WithSecondM	1	10	1	9
PSIP1_DIAPH2	BLCA	WOSecondM	14	154	2	119
PSIP1_KMT2D	BLCA	WithSecondM	5	46	1	26
PSIP1_KMT2D	BLCA	WOSecondM	10	118	2	102
PSIP1_STAG2	BLCA	WithSecondM	5	27	1	17
PSIP1_STAG2	BLCA	WOSecondM	10	137	2	111
PSIP1_RXRA	BLCA	WithSecondM	2	11	1	8
PSIP1_RXRA	BLCA	WOSecondM	13	153	2	120
PSIP1_ZFP36L1	BLCA	WithSecondM	1	18	1	11
PSIP1_ZFP36L1	BLCA	WOSecondM	14	146	2	117
PSIP1_HRAS	BLCA	WithSecondM	2	6	1	8
PSIP1_HRAS	BLCA	WOSecondM	13	158	2	120
PSIP1_RHOB	BLCA	WithSecondM	3	11	1	7
PSIP1_RHOB	BLCA	WOSecondM	12	153	2	121
PSIP1_RHOA	BLCA	WithSecondM	2	9	2	6
PSIP1_RHOA	BLCA	WOSecondM	13	155	1	122
PSIP1_EP300	BLCA	WithSecondM	2	22	2	16
PSIP1_EP300	BLCA	WOSecondM	13	142	1	112
PSIP1_FGFR3	BLCA	WithSecondM	6	28	1	18
PSIP1_FGFR3	BLCA	WOSecondM	9	136	2	110
PSIP1_KRAS	BLCA	WithSecondM	1	6	1	8
PSIP1_KRAS	BLCA	WOSecondM	14	158	2	120
PSIP1_ERBB2	BLCA	WithSecondM	2	19	1	13
PSIP1_ERBB2	BLCA	WOSecondM	13	145	2	115
PSIP1_ARID1A	BLCA	WithSecondM	1	42	1	35
PSIP1_ARID1A	BLCA	WOSecondM	14	122	2	93
PSIP1_FOXA1	BLCA	WithSecondM	2	8	1	4
PSIP1_FOXA1	BLCA	WOSecondM	13	156	2	124
PSIP1_PTEN	BLCA	WithSecondM	2	4	1	7
PSIP1_PTEN	BLCA	WOSecondM	13	160	2	121
PSIP1_FAT1	BLCA	WithSecondM	5	17	1	13
PSIP1_FAT1	BLCA	WOSecondM	10	147	2	115
PSIP1_GNA13	BLCA	WithSecondM	1	6	1	2
PSIP1_GNA13	BLCA	WOSecondM	14	158	2	126
PSIP1_PIK3CA	BLCA	WithSecondM	4	37	2	24
PSIP1_PIK3CA	BLCA	WOSecondM	11	127	1	104
PSIP1_CREBBP	BLCA	WithSecondM	1	21	1	16
PSIP1_CREBBP	BLCA	WOSecondM	14	143	2	112
