Gene	Tissue	Target	Mut_Loss	NoMut_Loss	Mut_WT	NoMut_WT
PTEN_HRAS	HNSC	WithSecondM	1	1	1	30
PTEN_HRAS	HNSC	WOSecondM	8	117	5	307
PTEN_FBXW7	HNSC	WithSecondM	1	10	1	25
PTEN_FBXW7	HNSC	WOSecondM	8	108	5	312
PTEN_TGFBR2	HNSC	WithSecondM	2	4	1	19
PTEN_TGFBR2	HNSC	WOSecondM	7	114	5	318
PTEN_CDKN2A	HNSC	WithSecondM	1	21	1	70
PTEN_CDKN2A	HNSC	WOSecondM	8	97	5	267
PTEN_KMT2D	HNSC	WithSecondM	3	11	1	55
PTEN_KMT2D	HNSC	WOSecondM	6	107	5	282
PTEN_ARID2	HNSC	WithSecondM	1	6	2	9
PTEN_ARID2	HNSC	WOSecondM	8	112	4	328
PTEN_ZNF750	HNSC	WithSecondM	1	8	1	9
PTEN_ZNF750	HNSC	WOSecondM	8	110	5	328
PTEN_EP300	HNSC	WithSecondM	1	8	2	25
PTEN_EP300	HNSC	WOSecondM	8	110	4	312
PTEN_RASA1	HNSC	WithSecondM	1	4	1	9
PTEN_RASA1	HNSC	WOSecondM	8	114	5	328
PTEN_TP53	HNSC	WithSecondM	5	99	3	207
PTEN_TP53	HNSC	WOSecondM	4	19	3	130
PTEN_NOTCH1	HNSC	WithSecondM	1	12	2	67
PTEN_NOTCH1	HNSC	WOSecondM	8	106	4	270
PTEN_CASP8	HNSC	WithSecondM	2	1	2	45
PTEN_CASP8	HNSC	WOSecondM	7	117	4	292
PTEN_FAT1	HNSC	WithSecondM	2	22	1	82
PTEN_FAT1	HNSC	WOSecondM	7	96	5	255
PTEN_CYLD	HNSC	WithSecondM	1	5	1	6
PTEN_CYLD	HNSC	WOSecondM	8	113	5	331
PTEN_RAC1	HNSC	WithSecondM	1	2	1	13
PTEN_RAC1	HNSC	WOSecondM	8	116	5	324
PTEN_PIK3CA	HNSC	WithSecondM	2	21	2	62
PTEN_PIK3CA	HNSC	WOSecondM	7	97	4	275
PTEN_NSD1	HNSC	WithSecondM	2	16	2	33
PTEN_NSD1	HNSC	WOSecondM	7	102	4	304
PTEN_FLNA	HNSC	WithSecondM	2	6	1	10
PTEN_FLNA	HNSC	WOSecondM	7	112	5	327
PTEN_CUL3	HNSC	WithSecondM	1	13	1	5
PTEN_CUL3	HNSC	WOSecondM	8	105	5	332
CYLD_HUWE1	HNSC	WithSecondM	1	5	1	36
CYLD_HUWE1	HNSC	WOSecondM	11	76	2	276
CYLD_EPHA2	HNSC	WithSecondM	1	5	1	16
CYLD_EPHA2	HNSC	WOSecondM	11	76	2	296
CYLD_KEAP1	HNSC	WithSecondM	1	3	1	15
CYLD_KEAP1	HNSC	WOSecondM	11	78	2	297
CYLD_NFE2L2	HNSC	WithSecondM	1	6	1	18
CYLD_NFE2L2	HNSC	WOSecondM	11	75	2	294
CYLD_MYH9	HNSC	WithSecondM	2	2	1	16
CYLD_MYH9	HNSC	WOSecondM	10	79	2	296
CYLD_RB1	HNSC	WithSecondM	1	8	1	5
CYLD_RB1	HNSC	WOSecondM	11	73	2	307
CYLD_KDM6A	HNSC	WithSecondM	1	5	1	9
CYLD_KDM6A	HNSC	WOSecondM	11	76	2	303
CYLD_AJUBA	HNSC	WithSecondM	1	5	2	17
CYLD_AJUBA	HNSC	WOSecondM	11	76	1	295
CYLD_HRAS	HNSC	WithSecondM	1	2	1	28
CYLD_HRAS	HNSC	WOSecondM	11	79	2	284
CYLD_FBXW7	HNSC	WithSecondM	1	7	1	21
CYLD_FBXW7	HNSC	WOSecondM	11	74	2	291
CYLD_TGFBR2	HNSC	WithSecondM	1	3	1	19
CYLD_TGFBR2	HNSC	WOSecondM	11	78	2	293
CYLD_CDKN2A	HNSC	WithSecondM	1	15	1	63
CYLD_CDKN2A	HNSC	WOSecondM	11	66	2	249
CYLD_KMT2D	HNSC	WithSecondM	2	11	1	46
CYLD_KMT2D	HNSC	WOSecondM	10	70	2	266
CYLD_ARID2	HNSC	WithSecondM	1	2	1	15
CYLD_ARID2	HNSC	WOSecondM	11	79	2	297
CYLD_ZNF750	HNSC	WithSecondM	1	7	1	12
CYLD_ZNF750	HNSC	WOSecondM	11	74	2	300
CYLD_EP300	HNSC	WithSecondM	4	4	1	26
CYLD_EP300	HNSC	WOSecondM	8	77	2	286
CYLD_RASA1	HNSC	WithSecondM	1	5	1	10
CYLD_RASA1	HNSC	WOSecondM	11	76	2	302
CYLD_TP53	HNSC	WithSecondM	3	52	2	196
CYLD_TP53	HNSC	WOSecondM	9	29	1	116
CYLD_NOTCH1	HNSC	WithSecondM	1	14	1	55
CYLD_NOTCH1	HNSC	WOSecondM	11	67	2	257
CYLD_CASP8	HNSC	WithSecondM	1	2	1	44
CYLD_CASP8	HNSC	WOSecondM	11	79	2	268
CYLD_PTEN	HNSC	WithSecondM	1	1	1	8
CYLD_PTEN	HNSC	WOSecondM	11	80	2	304
CYLD_FAT1	HNSC	WithSecondM	2	12	1	78
CYLD_FAT1	HNSC	WOSecondM	10	69	2	234
CYLD_RAC1	HNSC	WithSecondM	2	1	1	12
CYLD_RAC1	HNSC	WOSecondM	10	80	2	300
CYLD_PIK3CA	HNSC	WithSecondM	1	12	1	60
CYLD_PIK3CA	HNSC	WOSecondM	11	69	2	252
CYLD_NSD1	HNSC	WithSecondM	1	13	1	33
CYLD_NSD1	HNSC	WOSecondM	11	68	2	279
CYLD_FLNA	HNSC	WithSecondM	1	2	1	12
CYLD_FLNA	HNSC	WOSecondM	11	79	2	300
CYLD_CUL3	HNSC	WithSecondM	1	6	1	10
CYLD_CUL3	HNSC	WOSecondM	11	75	2	302
NSD1_HUWE1	HNSC	WithSecondM	1	9	3	32
NSD1_HUWE1	HNSC	WOSecondM	35	149	19	227
NSD1_EPHA2	HNSC	WithSecondM	2	7	3	13
NSD1_EPHA2	HNSC	WOSecondM	34	151	19	246
NSD1_KEAP1	HNSC	WithSecondM	5	10	2	7
NSD1_KEAP1	HNSC	WOSecondM	31	148	20	252
NSD1_NFE2L2	HNSC	WithSecondM	4	10	3	13
NSD1_NFE2L2	HNSC	WOSecondM	32	148	19	246
NSD1_MYH9	HNSC	WithSecondM	3	4	2	14
NSD1_MYH9	HNSC	WOSecondM	33	154	20	245
NSD1_RB1	HNSC	WithSecondM	3	7	1	6
NSD1_RB1	HNSC	WOSecondM	33	151	21	253
NSD1_KDM6A	HNSC	WithSecondM	3	9	3	5
NSD1_KDM6A	HNSC	WOSecondM	33	149	19	254
NSD1_AJUBA	HNSC	WithSecondM	5	11	1	13
NSD1_AJUBA	HNSC	WOSecondM	31	147	21	246
NSD1_HRAS	HNSC	WithSecondM	1	1	2	27
NSD1_HRAS	HNSC	WOSecondM	35	157	20	232
NSD1_FBXW7	HNSC	WithSecondM	5	14	1	16
NSD1_FBXW7	HNSC	WOSecondM	31	144	21	243
NSD1_TGFBR2	HNSC	WithSecondM	3	4	2	16
NSD1_TGFBR2	HNSC	WOSecondM	33	154	20	243
NSD1_CDKN2A	HNSC	WithSecondM	7	41	2	47
NSD1_CDKN2A	HNSC	WOSecondM	29	117	20	212
NSD1_KMT2D	HNSC	WithSecondM	7	18	3	39
NSD1_KMT2D	HNSC	WOSecondM	29	140	19	220
NSD1_ARID2	HNSC	WithSecondM	2	7	2	8
NSD1_ARID2	HNSC	WOSecondM	34	151	20	251
NSD1_ZNF750	HNSC	WithSecondM	3	8	4	5
NSD1_ZNF750	HNSC	WOSecondM	33	150	18	254
NSD1_EP300	HNSC	WithSecondM	3	7	3	25
NSD1_EP300	HNSC	WOSecondM	33	151	19	234
NSD1_RASA1	HNSC	WithSecondM	1	8	2	9
NSD1_RASA1	HNSC	WOSecondM	35	150	20	250
NSD1_TP53	HNSC	WithSecondM	30	131	13	145
NSD1_TP53	HNSC	WOSecondM	6	27	9	114
NSD1_NOTCH1	HNSC	WithSecondM	4	21	7	51
NSD1_NOTCH1	HNSC	WOSecondM	32	137	15	208
NSD1_CASP8	HNSC	WithSecondM	2	7	1	42
NSD1_CASP8	HNSC	WOSecondM	34	151	21	217
NSD1_PTEN	HNSC	WithSecondM	3	3	1	6
NSD1_PTEN	HNSC	WOSecondM	33	155	21	253
NSD1_FAT1	HNSC	WithSecondM	8	35	5	60
NSD1_FAT1	HNSC	WOSecondM	28	123	17	199
NSD1_CYLD	HNSC	WithSecondM	1	3	1	9
NSD1_CYLD	HNSC	WOSecondM	35	155	21	250
NSD1_RAC1	HNSC	WithSecondM	1	2	2	12
NSD1_RAC1	HNSC	WOSecondM	35	156	20	247
NSD1_PIK3CA	HNSC	WithSecondM	8	22	4	47
NSD1_PIK3CA	HNSC	WOSecondM	28	136	18	212
NSD1_FLNA	HNSC	WithSecondM	2	7	3	6
NSD1_FLNA	HNSC	WOSecondM	34	151	19	253
NSD1_CUL3	HNSC	WithSecondM	4	7	3	6
NSD1_CUL3	HNSC	WOSecondM	32	151	19	253
