Gene	Tissue	Target	Mut_Loss	NoMut_Loss	Mut_WT	NoMut_WT
TP53_GNA11	SKCM	WithSecondM	3	2	1	3
TP53_GNA11	SKCM	WOSecondM	31	80	8	171
PTEN_CTNNB1	SKCM	WithSecondM	1	10	1	6
PTEN_CTNNB1	SKCM	WOSecondM	26	150	3	103
PTEN_MAP2K1	SKCM	WithSecondM	2	15	1	4
PTEN_MAP2K1	SKCM	WOSecondM	25	145	3	105
PTEN_MECOM	SKCM	WithSecondM	6	27	3	22
PTEN_MECOM	SKCM	WOSecondM	21	133	1	87
PTEN_NRAS	SKCM	WithSecondM	4	46	2	41
PTEN_NRAS	SKCM	WOSecondM	23	114	2	68
PTEN_RB1	SKCM	WithSecondM	1	6	1	6
PTEN_RB1	SKCM	WOSecondM	26	154	3	103
PTEN_PPP6C	SKCM	WithSecondM	2	15	1	6
PTEN_PPP6C	SKCM	WOSecondM	25	145	3	103
PTEN_NF1	SKCM	WithSecondM	2	14	1	17
PTEN_NF1	SKCM	WOSecondM	25	146	3	92
PTEN_CDKN2A	SKCM	WithSecondM	5	24	1	9
PTEN_CDKN2A	SKCM	WOSecondM	22	136	3	100
PTEN_DDX3X	SKCM	WithSecondM	3	11	2	7
PTEN_DDX3X	SKCM	WOSecondM	24	149	2	102
PTEN_RQCD1	SKCM	WithSecondM	3	7	1	1
PTEN_RQCD1	SKCM	WOSecondM	24	153	3	108
PTEN_RAC1	SKCM	WithSecondM	3	8	1	7
PTEN_RAC1	SKCM	WOSecondM	24	152	3	102
PTEN_ARID2	SKCM	WithSecondM	5	13	1	17
PTEN_ARID2	SKCM	WOSecondM	22	147	3	92
PTEN_IDH1	SKCM	WithSecondM	3	6	1	7
PTEN_IDH1	SKCM	WOSecondM	24	154	3	102
PTEN_COL5A1	SKCM	WithSecondM	7	25	1	18
PTEN_COL5A1	SKCM	WOSecondM	20	135	3	91
PTEN_DACH1	SKCM	WithSecondM	4	9	1	10
PTEN_DACH1	SKCM	WOSecondM	23	151	3	99
PTEN_BRD7	SKCM	WithSecondM	2	3	1	3
PTEN_BRD7	SKCM	WOSecondM	25	157	3	106
PTEN_TP53	SKCM	WithSecondM	5	25	1	11
PTEN_TP53	SKCM	WOSecondM	22	135	3	98
PTEN_KIT	SKCM	WithSecondM	1	6	1	6
PTEN_KIT	SKCM	WOSecondM	26	154	3	103
PTEN_CDK4	SKCM	WithSecondM	1	7	1	3
PTEN_CDK4	SKCM	WOSecondM	26	153	3	106
PTEN_BRAF	SKCM	WithSecondM	21	90	2	35
PTEN_BRAF	SKCM	WOSecondM	6	70	2	74
PTEN_GNA11	SKCM	WithSecondM	1	6	1	2
PTEN_GNA11	SKCM	WOSecondM	26	154	3	107
